className,eventId,traceLevel,nwFunction,networkElement1,networkElement2,messageDirection,
com.ericsson.pm_event.DuPerCellLinkAdaptationRepOuterClass$DuPerCellLinkAdaptationRep,2051,CELL,PM_EVENT_MESSAGE_GROUP_DU,RP,RC,,
com.ericsson.pm_event.DuPerCellPagingRepOuterClass$DuPerCellPagingRep,2052,CELL,PM_EVENT_MESSAGE_GROUP_DU,RP,RC,,
com.ericsson.pm_event.DuPerCellpartitionResourceRepOuterClass$DuPerCellpartitionResourceRep,2059,CELL,PM_EVENT_MESSAGE_GROUP_DU,RP,RC,,
com.ericsson.pm_event.DuPerCellplmnTrafficRepOuterClass$DuPerCellplmnTrafficRep,2090,CELL,PM_EVENT_MESSAGE_GROUP_DU,RP,RC,,
com.ericsson.pm_event.DuPerCellQosTrafficRepOuterClass$DuPerCellQosTrafficRep,2009,CELL,PM_EVENT_MESSAGE_GROUP_DU,RP,RC,,
com.ericsson.pm_event.DuPerCellResourceRepOuterClass$DuPerCellResourceRep,2011,CELL,PM_EVENT_MESSAGE_GROUP_DU,RP,RC,,
com.ericsson.pm_event.DuPerCellTrafficRepOuterClass$DuPerCellTrafficRep,2005,CELL,PM_EVENT_MESSAGE_GROUP_DU,RP,RC,,
com.ericsson.pm_event.DuPerCellTrafficRepExtendedOuterClass$DuPerCellTrafficRepExtended,2053,CELL,PM_EVENT_MESSAGE_GROUP_DU,RP,RC,,
com.ericsson.pm_event.DuPerCellTrafficRepLcgOuterClass$DuPerCellTrafficRepLcg,2054,CELL,PM_EVENT_MESSAGE_GROUP_DU,RP,RC,,
com.ericsson.pm_event.DuPerCellUeContextAllocatedOuterClass$DuPerCellUeContextAllocated,2055,CELL,PM_EVENT_MESSAGE_GROUP_DU,RP,RC,,
com.ericsson.pm_event.DuPerNRCellDUDowntimeOuterClass$DuPerNRCellDUDowntime,2012,CELL,PM_EVENT_MESSAGE_GROUP_DU,RP,RC,,
com.ericsson.pm_event.DuPerRadioBeamMeasurementOuterClass$DuPerRadioBeamMeasurement,2018,CELL,PM_EVENT_MESSAGE_GROUP_DU,RP,RC,,
com.ericsson.pm_event.DuPerRadioCellMeasurementOuterClass$DuPerRadioCellMeasurement,2010,CELL,PM_EVENT_MESSAGE_GROUP_DU,RP,RC,,
com.ericsson.pm_event.DuPerRadioCellMeasurementExtendedOuterClass$DuPerRadioCellMeasurementExtended,2057,CELL,PM_EVENT_MESSAGE_GROUP_DU,RP,RC,,
com.ericsson.pm_event.CuCpAnrEvalOuterClass$CuCpAnrEval,3268,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,UE,,
com.ericsson.pm_event.CuCpDrbSuspendOuterClass$CuCpDrbSuspend,3224,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,UE,,
com.ericsson.pm_event.CuCpEcgiMeasurementOuterClass$CuCpEcgiMeasurement,3232,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,UE,,
com.ericsson.pm_event.CuCpEcidMeasurementInitiationRequestOuterClass$CuCpEcidMeasurementInitiationRequest,3317,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,UE,,
com.ericsson.pm_event.CuCpEcidMeasurementInitiationResponseOuterClass$CuCpEcidMeasurementInitiationResponse,3318,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,UE,,
com.ericsson.pm_event.CuCpEndcInitAccessFailOuterClass$CuCpEndcInitAccessFail,3115,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,ENODEB,,
com.ericsson.pm_event.CuCpEndcMobilityEvaluationOuterClass$CuCpEndcMobilityEvaluation,3063,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,ENODEB,,
com.ericsson.pm_event.CuCpEndcSgnbModificationFailOuterClass$CuCpEndcSgnbModificationFail,3212,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,ENODEB,,
com.ericsson.pm_event.CuCpIncomingHandoverFailureOuterClass$CuCpIncomingHandoverFailure,3145,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,TARGET_GNODEB,,
com.ericsson.pm_event.CuCpMeasurementConfigurationSaOuterClass$CuCpMeasurementConfigurationSa,3328,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,UE,,
com.ericsson.pm_event.CuCpMeasurementReportEndcEvalOuterClass$CuCpMeasurementReportEndcEval,3211,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,UE,,
com.ericsson.pm_event.CuCpMeasurementReportNrdcEvalOuterClass$CuCpMeasurementReportNrdcEval,3266,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,UE,,
com.ericsson.pm_event.CuCpMeasurementReportSaEvalOuterClass$CuCpMeasurementReportSaEval,3173,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,UE,,
com.ericsson.pm_event.CuCpMnNrdcSetupBufMonConfigOuterClass$CuCpMnNrdcSetupBufMonConfig,3269,UE,PM_EVENT_MESSAGE_GROUP_CUCP,RC,GNODEB,,
